"id","alimento","energía (Kcal)","proteinas","grasa total","carbohidratos"
1,"Arroz, grano, blanco, pulido, crudo",339,6.9,0.2,79.2
2,"Arroz, grano, blanco, pulido, hervido",82,1.4,0.1,19.4
3,"Avena , grano, arrollada, cruda",383,15.6,7.8,62.5
4,"Avena, grano, arrollada, cruda",343,12.8,7.1,0.0
5,"Avena, grano, arrollada, hervida",86,3.8,1.9,15.8
6,"Cebada, grano, mondado, perlado, crudo",317,10.2,1.5,74.9
7,"Cebada, grano, mondado, perlado, hervido",82,3.8,0.1,19.3
8,"Cebada, harina ""Genser"", cruda",328,10.2,1.7,76.9
9,"Centeno, harina, clara, cruda",332,8.9,0.9,78.5
10,"Centeno, pan",206,8.7,0.6,48.9
11,"Centeno, pan con harina integral",214,10.4,0.9,49.0
12,"Maiz, choclo",97,3.7,1.2,20.5
13,"Maiz, grano, entero (Zea mays spp)",346,9.5,0.9,74.9
14,"Maiz, harina amarilla (polenta), cruda",369,11.1,3.2,73.9
15,"Maiz, harina amarilla (polenta), cruda",338,9.1,4.9,73.4
16,"Maiz, harina amarilla (polenta), hervida",68,3.2,0.8,13.7
17,"Maiz, pan",275,9.1,2.9,53.2
18,"Trigo, grano entero, crudo",347,12.4,2.0,69.8
19,"Trigo, bizcochos ""Bay Biscuit""",382,5.9,10.1,72.5
21,"Trigo, bizcochos, vainillas",401,10.2,8.9,70.0
22,"Trigo, galleta de campo",300,9.8,1.0,63.0
23,"Trigo, galleta marinera",361,12.8,0.7,75.9
24,"Trigo, galletitas de agua ""Express""",442,13.5,15.5,62.0
25,"Trigo, galletitas de agua ""Traviata""",437,12.2,13.1,67.6
26,"Trigo, galletitas de harina blanca",410,12.2,11.6,0.0
27,"Trigo, galletitas de harina integral",411,10.6,15.8,0.0
28,"Trigo, galletitas dulces ""Manón""",417,8.5,10.1,73.0
29,"Trigo, galletitas dulces ""Minue""",419,8.2,13.1,67.0
30,"Trigo, galletitas oblea ""Opera""",442,4.9,21.1,58.0
31,"Trigo, grisines",342,12.5,0.2,72.6
32,"Trigo, harina tres cero",340,10.3,2.7,0.0
33,"Trigo, harina cuatro ceros",348,10.2,2.6,0.0
